names,wkt_geom,type
2 столба|Два столба|2 столбов,"POLYGON((30.61548 46.4865584, 30.6157891 46.4863655, 30.6158966 46.4864439, 30.6175321 46.4859716, 30.6178101 46.4861049, 30.6169415 46.4911018, 30.6148532 46.4908267, 30.6153808 46.4882039, 30.6151582 46.4881799, 30.6153017 46.4873867, 30.614967 46.4873203, 30.6149936 46.4870962, 30.61548 46.4865584))",street
25я|25ая|Чапаевской дивизии|25 дивизии|25 чап|чапаевская|Инглези|Чепаевская,"LINESTRING(30.7150706 46.4192855, 30.7143776 46.4196616, 30.7140166 46.4198414, 30.7108882 46.4213979, 30.7102096 46.4217283, 30.7067551 46.4234149, 30.7066332 46.4234165, 30.7054501 46.4235012, 30.7036399 46.4247399, 30.7004018 46.4259629, 30.696772 46.4282238, 30.6953923 46.429852, 30.6950656 46.4303202, 30.6949542 46.4304763, 30.69489 46.430566)",street
411|411ая|411я|батарея,"LINESTRING(30.7245224 46.371199, 30.7239215 46.3718172)",street
7 км|7км,POINT(30.6402739 46.4419476),market
7 небо,"POLYGON((30.6382 46.45513, 30.63389 46.45595, 30.63325 46.45418, 30.63367 46.45154, 30.63465 46.45008, 30.63254 46.44884, 30.63336 46.44513, 30.63726 46.44626, 30.63647 46.44856, 30.64212 46.45074, 30.6453 46.45093, 30.64483 46.45551, 30.64137 46.45676, 30.6382 46.45513))",street
7 Пересыпская,"LINESTRING(30.7209071 46.5381234, 30.7257828 46.5374895)",street
7 самураев|Семь самураев|Сім самураїв,"POLYGON((30.7104360 46.4876742, 30.7100926 46.4879540, 30.7097305 46.4881609, 30.7088923 46.4884176, 30.7085731 46.4881165, 30.7090855 46.4869300, 30.7095324 46.4866658, 30.7104360 46.4876742))",street
7-я Пересыпская,"LINESTRING(30.7323056 46.5321204, 30.7320884 46.5319802)",street
8 марта,"LINESTRING(30.7138689 46.5467256, 30.7144356 46.5463668, 30.7153606 46.5460778, 30.7210335 46.5449044, 30.7258667 46.5434426)",street
STVOL,"POLYGON((30.7220961 46.4235137, 30.7225784 46.423209, 30.7226372 46.4232533, 30.7221772 46.4235438, 30.7220961 46.4235137))",street
Абрикосовая,"LINESTRING(30.7440929 46.3935498, 30.7399517 46.4007021)",street
Авиационная,"LINESTRING(30.7215087 46.4526689, 30.7213952 46.4454246)",street
