names,wkt_geom,type
Крайняя,"LINESTRING(30.6444064 46.4629511, 30.6438747 46.4696446, 30.6436671 46.4752617)",street
Красивая,"POLYGON((30.6986596 46.3478305, 30.6987061 46.3484151, 30.6990413 46.3484425, 30.6986596 46.3478305))",street
Красная,"POLYGON((30.7632442 46.5538353, 30.761347 46.5565185, 30.7609289 46.5568185, 30.7632442 46.5538353))",street
Краснова,"LINESTRING(30.7286898 46.4301975, 30.7293808 46.4304278, 30.733269 46.4493207, 30.7348932 46.4505884, 30.7362742 46.4509705, 30.7378807 46.4517413)",street
Красноселка,POINT(30.77614 46.623569),street
Краснослободская,"LINESTRING(30.6950253 46.490636, 30.7045902 46.4936001, 30.7072291 46.4938042, 30.7110467 46.4930786)",street
красный крест|кр крест,POINT(30.728846 46.453751),street
Краян,"POLYGON((30.6616948 46.4333973, 30.663728 46.433403, 30.6638074 46.4359197, 30.6622786 46.4359123, 30.6623537 46.4337163, 30.6614149 46.4337496, 30.6614095 46.4334168, 30.6616948 46.4333973))",street
крематорий,"POLYGON((30.688866 46.3926451, 30.6892038 46.3926789, 30.6891755 46.3928135, 30.6889106 46.3928465, 30.688866 46.3926451))",street
Кренкеля,"POLYGON((30.7618311 46.451521, 30.7646279 46.452045, 30.7638438 46.453902, 30.7618311 46.451521))",street
Кривобалковская,"LINESTRING(30.6956158 46.4908182, 30.6986019 46.4862004)",street
Крушельницкого,"LINESTRING(30.6801967 46.4923978, 30.6751908 46.4952159)",street
Крыжановка|5ая крыжановка,POINT(30.78901 46.56594),street
Крылова,"POLYGON((30.6959205 46.495718, 30.6963852 46.4954319, 30.7004044 46.4893129, 30.6959205 46.495718))",street
Крым,"POLYGON((30.7691135 46.431272, 30.769351 46.4312023, 30.7695484 46.4315322, 30.7692276 46.4314476, 30.7691135 46.431272))",street
Крымская,"LINESTRING(30.7870533 46.5725334, 30.7906509 46.578927)",street
Кузнечная,"LINESTRING(30.7224882 46.4826436, 30.7306326 46.4762193)",street
Куйбышева|Старорезничная,"LINESTRING(30.7368514 46.4705201, 30.7307792 46.4709953)",street
Куликово|Куликовом|Куликовский|2 куликовский|2й куликовский|2-й куликовский,"POLYGON((30.7422865 46.4678301, 30.7420346 46.467649, 30.7415577 46.4648895, 30.7453688 46.4645963, 30.7457845 46.464782, 30.7460129 46.466611, 30.7442224 46.4678505, 30.7424907 46.4679692, 30.7422865 46.4678301))",street
Куницы,"LINESTRING(30.6904369 46.4862193, 30.6898575 46.4831022)",street
Куприна,"LINESTRING(30.7539549 46.4116323, 30.7535118 46.4108776, 30.7507824 46.4110181, 30.7394517 46.4097112)",street
Курганная,"LINESTRING(30.6196737 46.4735575, 30.6199333 46.4686981)",street
Курсантская лестница,"LINESTRING(30.7087852 46.4834291, 30.7106418 46.4836452)",street
Курская,"LINESTRING(30.7719939 46.56102, 30.7756367 46.567985)",street
Кустанайская,"LINESTRING(30.661612 46.4619687, 30.6622525 46.4645565)",street
Куяльник,"LINESTRING(30.7262933 46.5615421, 30.7262248 46.5615228)",street
куяльник,POINT(30.735358 46.556654),street
Куяльницкий мост,"POLYGON((30.7345561 46.5563204, 30.7345752 46.5562826, 30.7352444 46.5564425, 30.7351224 46.5566841, 30.7344531 46.5565242, 30.7345561 46.5563204))",street
Лавочная,"POLYGON((30.702282 46.497757, 30.7049209 46.4946429, 30.7052237 46.4936571, 30.702282 46.497757))",street
Лазарева,"LINESTRING(30.7275559 46.4661683, 30.7175973 46.4597767, 30.7162062 46.4594776)",street
Ланжерон,"POLYGON((30.7645328 46.4715988, 30.76506 46.4715027, 30.7649372 46.4712357, 30.7648149 46.4710331, 30.7645697 46.470689, 30.7643835 46.4704425, 30.7640887 46.4700521, 30.7639182 46.4697273, 30.763673 46.4692255, 30.7635096 46.4688186, 30.7632784 46.4687994, 30.7632714 46.468936, 30.7631687 46.4691387, 30.7631593 46.4694459, 30.7634886 46.4699991, 30.763592 46.4701851, 30.7637898 46.470541, 30.7638324 46.4706016, 30.7645328 46.4715988))",street
Ланжероновская,"LINESTRING(30.744708 46.48472, 30.7358681 46.4852969)",street
Латвийский спуск,"LINESTRING(30.7066541 46.4974157, 30.7082166 46.4961251, 30.7089578 46.4951178, 30.7093211 46.4949286)",street
Левадная,"POLYGON((30.7032081 46.4906839, 30.7003186 46.4892539, 30.6993749 46.4877453, 30.7032081 46.4906839))",street
Левитана,"LINESTRING(30.6930908 46.4077765, 30.7049615 46.4089509, 30.7053845 46.4072034, 30.7086503 46.4056491, 30.7100068 46.4050441, 30.7105857 46.4048858, 30.7113589 46.4051032, 30.7129978 46.4052704, 30.7158136 46.4056451, 30.7214266 46.4064363, 30.7232416 46.4066631, 30.7292446 46.4074858, 30.7298697 46.4076354)",street
Левкойная,"POLYGON((30.7364285 46.4221537, 30.7404395 46.4199267, 30.7410485 46.4191314, 30.7364285 46.4221537))",street
Леонтовича,"LINESTRING(30.7532757 46.4702214, 30.7526248 46.4677311)",street
Леси Украинки,"LINESTRING(30.7773932 46.5620482, 30.7795585 46.5661321)",street
Летний театр,"POLYGON((30.771879 46.5565346, 30.7722598 46.5562137, 30.7726461 46.5562948, 30.7726327 46.5565696, 30.772402 46.556708, 30.771879 46.5565346))",street
Летняя,"LINESTRING(30.6937073 46.5044884, 30.6930944 46.5043658)",street
Лидерсовский бульвар,"POLYGON((30.7537824 46.4723315, 30.7552933 46.4737882, 30.7553738 46.4744584, 30.7558993 46.4748016, 30.756784 46.475085, 30.75952 46.4775446, 30.7537824 46.4723315))",street
Лиманная,"LINESTRING(30.7246348 46.5652157, 30.7255449 46.5634491, 30.7261939 46.5612587, 30.7278827 46.5592081, 30.733058 46.55794, 30.7346795 46.5566388, 30.7349378 46.5562433, 30.7362211 46.5565408)",street
Лиманчик,"POLYGON((30.7050532 46.5239937, 30.7054987 46.5234929, 30.7067685 46.5240276, 30.706323 46.5245284, 30.7050532 46.5239937))",street
Лиственная,"LINESTRING(30.698774 46.5001246, 30.6985157 46.498973)",street
Литературная,"MULTILINESTRING((30.7620665 46.4195315, 30.7607416 46.4199036, 30.7604771 46.4199866, 30.7603531 46.4200255), (30.7587389 46.4183223, 30.7591675 46.418686, 30.7597398 46.4191696, 30.7600754 46.4194563, 30.7602981 46.4196471, 30.7603424 46.4198256, 30.7603531 46.4200255), (30.7603531 46.4200255, 30.7601446 46.4200909, 30.7600863 46.4201082, 30.7600226 46.4201271, 30.7599533 46.4201476, 30.7587681 46.4205456, 30.758032 46.4209718, 30.7560986 46.4219375, 30.7559011 46.4220295, 30.755239 46.4222781, 30.75521 46.4223172, 30.7552019 46.4223609, 30.7552349 46.4224266))",street
Литовская,"LINESTRING(30.6987573 46.4570018, 30.6884086 46.4565953)",street
Лицей Приморский,"POLYGON((30.740606 46.4541138, 30.7411186 46.4535774, 30.742514 46.4541011, 30.7418136 46.4546441, 30.7409887 46.4540583, 30.7407056 46.4542135, 30.740606 46.4541138))",street
Лобстер,"POLYGON((30.7512485 46.4833846, 30.7510723 46.4833611, 30.7510661 46.4832533, 30.751228 46.4832431, 30.7512485 46.4833846))",street
Локальна,"LINESTRING(30.6214258 46.4846156, 30.6199747 46.4824431)",street
Локомотивная,"POLYGON((30.7384546 46.5412809, 30.7328579 46.5351792, 30.7307727 46.5340297, 30.7384546 46.5412809))",street
Ломоносова,"LINESTRING(30.7721908 46.5648739, 30.7746698 46.564283)",street
Луганская,"LINESTRING(30.7213596 46.4428978, 30.7191399 46.4406366)",street
Луговая,"MULTILINESTRING((30.6726844 46.4672449, 30.6731287 46.4671651, 30.6734847 46.4671175, 30.6739786 46.467089, 30.6741159 46.4670715, 30.67426 46.4670354, 30.6744533 46.4668204, 30.67473 46.4665156, 30.6748262 46.466293, 30.6749586 46.4659927, 30.6750576 46.4657682, 30.6750693 46.4657466, 30.6750888 46.4657299, 30.6752567 46.4656603, 30.6760866 46.4653111, 30.6763122 46.4652264))",street
Лузановка,"POLYGON((30.7593416 46.552229, 30.7608709 46.5504402, 30.7628088 46.5512694, 30.7715997 46.5541306, 30.7700141 46.555309, 30.7698315 46.555631, 30.769302 46.5557051, 30.7593416 46.552229))",street
Лузановская,"POLYGON((30.7398202 46.5413744, 30.7408594 46.5419465, 30.745203 46.5454657, 30.7398202 46.5413744))",street
Лукойл,"POLYGON((30.6765575 46.5162923, 30.6763965 46.5151332, 30.6807176 46.5130419, 30.6796045 46.5120469, 30.681086 46.5111386, 30.6821212 46.5119076, 30.6830239 46.5110919, 30.685354 46.5098302, 30.685695 46.5099031, 30.6863155 46.5095623, 30.6874764 46.5097799, 30.6879597 46.5101609, 30.6883109 46.5106146, 30.6874249 46.5112376, 30.6877381 46.5112008, 30.6886742 46.5119724, 30.6894359 46.5115811, 30.6915817 46.5122272, 30.690541 46.5138109, 30.6908826 46.5140351, 30.6806022 46.5198066, 30.6765575 46.5162923))",street
Лунная,"LINESTRING(30.7300732 46.3827564, 30.7296844 46.3836093, 30.729447 46.3841501, 30.7298579 46.3842163, 30.7291449 46.3850155)",street
Луцкая,"POLYGON((30.7661233 46.5630276, 30.7665597 46.5631138, 30.7672172 46.5642248, 30.7660716 46.5633013, 30.7661233 46.5630276))",street
Льва Симиренко,"POLYGON((30.684711 46.5242564, 30.6816492 46.5227838, 30.6764734 46.5209619, 30.6753581 46.5210651, 30.6742967 46.5214656, 30.684711 46.5242564))",street
Львовская,"LINESTRING(30.7473249 46.4017636, 30.7393596 46.4006072, 30.7340031 46.3993004)",street
Льдинка,"POLYGON((30.7146466 46.4350156, 30.7149935 46.4348646, 30.7157191 46.4356452, 30.7153705 46.4357876, 30.7146466 46.4350156))",street
Людмила,"POLYGON((30.7177642 46.3989665, 30.7178274 46.3987024, 30.7186299 46.3988209, 30.718583 46.399006, 30.7199511 46.3991709, 30.7177642 46.3989665))",street
Люстдорфская|Люсдорская|Черноморская|Люсстдорфской,"LINESTRING(30.72611 46.437846, 30.7288469 46.4293813, 30.723818 46.4257786, 30.7261984 46.4190025, 30.7263931 46.4175062, 30.7321094 46.4013972, 30.7325544 46.3992273, 30.73413 46.3947176, 30.7340674 46.3922045, 30.7331688 46.3902412, 30.732907 46.3888622, 30.7318035 46.3865858)",street
Лядова,"LINESTRING(30.7400713 46.4187802, 30.7408055 46.4147449)",street
Ляпидевского,"LINESTRING(30.7556373 46.4106545, 30.7556474 46.411125)",street
Мавританская арка,"POLYGON((30.7544787 46.4641152, 30.7545571 46.4639662, 30.7546243 46.4639631, 30.7545488 46.464109, 30.7544787 46.4641152))",street
Магистральная,"LINESTRING(30.6282816 46.4690887, 30.6185339 46.4686339)",street
Магнитогорская,"POLYGON((30.7404563 46.3849383, 30.7437217 46.3851954, 30.7446297 46.3850498, 30.7451038 46.3847858, 30.7404563 46.3849383))",street
Майстрова,"POLYGON((30.7164789 46.4811514, 30.7178878 46.4759134, 30.7187873 46.4742068, 30.7164789 46.4811514))",street
МакДоналдс,"POLYGON((30.7496692 46.460206, 30.7493471 46.460226, 30.7493333 46.4601205, 30.7496554 46.4601005, 30.7496692 46.460206))",street
Максима Чайки,"MULTILINESTRING((30.691434 46.4592385, 30.691647 46.4592431, 30.694632 46.4593769, 30.6960185 46.4594247, 30.6976312 46.4594953, 30.6977312 46.4594733, 30.6978411 46.4594315))",street
Малая Арнаутская|Малая,"LINESTRING(30.7277349 46.4719699, 30.7288533 46.4719975, 30.7532757 46.4702214)",street
Малинова,"POLYGON((30.6618818 46.4719097, 30.6592103 46.465715, 30.6588891 46.4636023, 30.6618818 46.4719097))",street
Малиновского,"LINESTRING(30.6980431 46.4508978, 30.7033796 46.4483738, 30.7066356 46.4467468, 30.7102234 46.4449705, 30.7127008 46.4437589, 30.714031 46.443132, 30.7163587 46.4420098, 30.719513 46.4404548, 30.7217382 46.4393624, 30.7222837 46.4391073, 30.7242417 46.4381578, 30.7253715 46.4377133, 30.7262925 46.437802)",street
Малишевского,"POLYGON((30.6870173 46.4419403, 30.6857979 46.4419082, 30.6849623 46.4507529, 30.6870173 46.4419403))",street
Маловского,"LINESTRING(30.7082882 46.4838531, 30.7077703 46.4844618, 30.6993749 46.4877453)",street
Манежна,"POLYGON((30.717079 46.4906877, 30.7170731 46.4898042, 30.7173319 46.4888726, 30.717079 46.4906877))",street
Манежная,"LINESTRING(30.7173319 46.4888726, 30.7185279 46.485525)",street
Маразлиевская,"LINESTRING(30.7507902 46.4827322, 30.7493092 46.4734165)",street
Мариинская,"LINESTRING(30.7487955 46.4642443, 30.7491239 46.4677436)",street
Мариинская гимназия,"POLYGON((30.7272816 46.4811011, 30.7277668 46.4813884, 30.7273688 46.481717, 30.7267746 46.4813671, 30.7271644 46.4810438, 30.7272816 46.4811011))",street
Маристелла,"POLYGON((30.7609503 46.4132833, 30.760739 46.4131102, 30.7613796 46.4130404, 30.7616782 46.4132277, 30.7617407 46.4135096, 30.7615011 46.4137692, 30.7612941 46.4135673, 30.761349 46.4133028, 30.7609503 46.4132833))",street
Мариупольская,"LINESTRING(30.7852617 46.5648222, 30.7862006 46.5665164)",street
Марсельская,"LINESTRING(30.7754912 46.5756118, 30.7975394 46.5698808, 30.799547 46.5698285, 30.8024532 46.5701786, 30.8037341 46.5707017)",street
Маршал,"POLYGON((30.7092725 46.3969449, 30.7088588 46.3968626, 30.7083312 46.3963361, 30.7091923 46.3961409, 30.7093852 46.3962992, 30.7092725 46.3969449))",street
Маршрутная,"LINESTRING(30.7187525 46.425494, 30.7226555 46.4284358)",street
Матроский спуск,"POLYGON((30.71169 46.4884655, 30.7128503 46.4879018, 30.7173913 46.488631, 30.71169 46.4884655))",street
Матюшенко,"LINESTRING(30.6992366 46.4969828, 30.7031271 46.4910182, 30.7032081 46.4906839)",street
Махачкалинская,"LINESTRING(30.7888471 46.594274, 30.7893485 46.5939875, 30.7899746 46.5940852, 30.7923644 46.592848, 30.7924029 46.5931958, 30.7938278 46.5929435, 30.7950014 46.5930359, 30.796834 46.5921752, 30.7972233 46.5924869, 30.8013086 46.5910489, 30.8044611 46.5895663, 30.8043897 46.589163, 30.80487 46.5889569)",street
Мациевской,"LINESTRING(30.6956983 46.4940588, 30.7053618 46.4970133)",street
Мачтовая,"POLYGON((30.7402619 46.435092, 30.7399644 46.4337339, 30.7384711 46.432707, 30.7402619 46.435092))",street
Мегадом,"POLYGON((30.7286642 46.4275438, 30.7289089 46.42741, 30.728627 46.4271664, 30.7294826 46.4266429, 30.7293826 46.4265624, 30.7304666 46.4260634, 30.7322287 46.4276549, 30.730161 46.4288279, 30.7286642 46.4275438))",street
Мегамакс,"POLYGON((30.7252979 46.4182672, 30.7248023 46.4176746, 30.7251962 46.4174334, 30.7258418 46.4179336, 30.7252979 46.4182672))",street
Мелитопольская,"LINESTRING(30.7726131 46.5662304, 30.7735301 46.5684875)",street
Мельницкая,"LINESTRING(30.7135288 46.4607873, 30.6948723 46.4607128, 30.6917733 46.4605985, 30.6892894 46.4601851)",street
Меркурий,"POLYGON((30.7968513 46.5759259, 30.7965848 46.5756772, 30.7961703 46.5758166, 30.7944748 46.5734769, 30.7947602 46.5733509, 30.7958215 46.574831, 30.7959815 46.5747287, 30.7968513 46.5759259))",street
Металлистов,"LINESTRING(30.6978654 46.500443, 30.6975864 46.4989538)",street
МЕТРО,"POLYGON((30.766853 46.5574748, 30.767404 46.5566841, 30.7684621 46.5570492, 30.7677754 46.5577878, 30.766853 46.5574748))",street
метро,"POLYGON((30.6603431 46.4489319, 30.6603263 46.4480359, 30.6623836 46.4480175, 30.662266 46.4485391, 30.6623987 46.4485379, 30.6624057 46.4489135, 30.6603431 46.4489319))",street
Мирная,"LINESTRING(30.6965926 46.4989367, 30.6970198 46.5012556)",street
Михаила Грушевского,"LINESTRING(30.7013416 46.4769519, 30.7028429 46.4773082)",street
Мичурина,"LINESTRING(30.6662142 46.4928368, 30.6593993 46.4935308)",street
Молодая,"POLYGON((30.7698315 46.555631, 30.7700141 46.555309, 30.7717646 46.5539991, 30.780837 46.5563888, 30.7803759 46.557545, 30.7799197 46.5598979, 30.7793828 46.5603854, 30.7699722 46.5558625, 30.7698315 46.555631))",street
Молодёжная,"LINESTRING(30.6365627 46.4643921, 30.6432082 46.464926)",street
Мореходка,"POLYGON((30.7179154 46.4833218, 30.7190528 46.4834189, 30.7197699 46.483704, 30.719148 46.4853267, 30.7184373 46.4854476, 30.7165818 46.4849228, 30.7167495 46.4843946, 30.7174802 46.4844887, 30.7176564 46.4833121, 30.7179154 46.4833218))",street
Мореходная,"MULTILINESTRING((30.7654139 46.4218662, 30.7650776 46.4220499, 30.7643963 46.4222986, 30.7643011 46.4223128, 30.7642037 46.42231, 30.7641106 46.4222903, 30.7636097 46.4221801, 30.7634699 46.4221012, 30.7632985 46.4220044, 30.7629177 46.4217548, 30.7628848 46.4217365), (30.7628848 46.4217365, 30.7628111 46.421926, 30.7628068 46.4219674))",street
Морская,"LINESTRING(30.7577836 46.4673195, 30.7577464 46.4655621)",street
морская академия,"POLYGON((30.7142249 46.4842086, 30.7108611 46.4831889, 30.7109656 46.4827254, 30.7144626 46.4830127, 30.7142249 46.4842086))",street
Морской,"POLYGON((30.6919149 46.3470739, 30.6917992 46.3453809, 30.6939066 46.3453634, 30.6938377 46.3460482, 30.6930694 46.3460482, 30.6928062 46.3471104, 30.6919149 46.3470739))",street
Москва,"POLYGON((30.7181662 46.4287484, 30.7185643 46.4284878, 30.718787 46.4286517, 30.7183931 46.4289099, 30.7181662 46.4287484))",street
Москвич,"POLYGON((30.7787368 46.585913, 30.7782108 46.5853126, 30.7787873 46.5850909, 30.7789517 46.5853126, 30.7788164 46.5855789, 30.7789773 46.5858543, 30.7787368 46.585913))",street
Моторная,"MULTILINESTRING((30.6478107 46.4820559, 30.6472568 46.4817013, 30.6461504 46.4811509, 30.6455119 46.4808018, 30.6437501 46.479948, 30.6428082 46.4794592, 30.6425945 46.4793483, 30.6423638 46.4792286, 30.6412756 46.4786639, 30.640605 46.4783302, 30.6403495 46.4781984, 30.639803 46.477927, 30.6394972 46.4777792), (30.6426291 46.4821785, 30.6417288 46.4821009, 30.639007 46.4818664), (30.639007 46.4818664, 30.6388782 46.4820289, 30.6389748 46.4826643), (30.6437501 46.479948, 30.6435394 46.4803741, 30.6434367 46.4805816, 30.6432113 46.4810149, 30.6428771 46.4816572, 30.6426291 46.4821785))",street
Музкомедия,"POLYGON((30.7504008 46.4686286, 30.7503204 46.4680619, 30.7507966 46.4680298, 30.7508033 46.4680772, 30.7515096 46.4680296, 30.7515408 46.4682497, 30.7515712 46.4684638, 30.7508648 46.4685113, 30.7508769 46.4685965, 30.7504008 46.4686286))",street
Музыкальная,"POLYGON((30.7322473 46.4255247, 30.7316687 46.4255378, 30.7301657 46.424194, 30.7313912 46.4234681, 30.7322473 46.4255247))",street
Мясоедовская,"LINESTRING(30.7187873 46.4742068, 30.7210078 46.4721315, 30.7275443 46.4666018)",street
Мясокомбинат,"LINESTRING(30.7292184 46.5257319, 30.7293136 46.5260004)",street
Набережная,"LINESTRING(30.7298622 46.3682014, 30.7319636 46.369565, 30.7325873 46.3696144, 30.7333624 46.3700498, 30.7381824 46.3730128, 30.7390832 46.3732454)",street
Наклонная,"LINESTRING(30.7717679 46.5572632, 30.7695302 46.5627053)",street
Наливная,"LINESTRING(30.7178065 46.5112786, 30.7220138 46.5231611)",street
Насосная,"POLYGON((30.7223775 46.393956, 30.7223641 46.3938477, 30.722625 46.3938324, 30.7226384 46.3939406, 30.7223775 46.393956))",street
Наталка,"POLYGON((30.7025978 46.4837196, 30.7026666 46.4836997, 30.70285 46.4840024, 30.7027686 46.4840243, 30.7025978 46.4837196))",street
научная библиотека,"POLYGON((30.7264312 46.4917772, 30.7254129 46.491179, 30.7260143 46.4906982, 30.7263059 46.4908626, 30.7269247 46.4913879, 30.7264312 46.4917772))",street
Невского,"LINESTRING(30.7282952 46.4121739, 30.7402597 46.4133543, 30.7420018 46.4136576)",street
Неделина,"LINESTRING(30.734455 46.4331734, 30.7484837 46.4253339)",street
Неждановой,"LINESTRING(30.6914669 46.5011035, 30.6903216 46.4967732, 30.6889945 46.4903783)",street
Нежинская,"LINESTRING(30.7198605 46.4890082, 30.7314085 46.4799134)",street
Немо,"POLYGON((30.7648408 46.4778783, 30.7648754 46.4772046, 30.7653826 46.4771711, 30.7653608 46.4772802, 30.7650322 46.477249, 30.7650876 46.4779019, 30.7648408 46.4778783))",street
Нептун,"POLYGON((30.7863646 46.5926254, 30.7862267 46.5925021, 30.7864115 46.5924044, 30.7865495 46.5925278, 30.7863646 46.5926254))",street
Нескучная,"POLYGON((30.6392553 46.4770694, 30.6381111 46.4757925, 30.63862 46.4694422, 30.6392553 46.4770694))",street
Никитина,"POLYGON((30.7009175 46.4996603, 30.6995804 46.5007196, 30.6974193 46.5015104, 30.6947342 46.5031983, 30.6893756 46.5035444, 30.7009175 46.4996603))",street
Николаевская,"LINESTRING(30.7335228 46.5329392, 30.7552637 46.5509411, 30.7630855 46.5537803, 30.7718535 46.5573099, 30.7725287 46.5573715, 30.7735031 46.5580536)",street
Николаевская дорога,"POLYGON((30.7632442 46.5538353, 30.7695233 46.5559389, 30.7718535 46.5573099, 30.7632442 46.5538353))",street
Николая Аркаса,"LINESTRING(30.6437073 46.4725892, 30.6346748 46.472241)",street
Николая Вороного,"LINESTRING(30.694632 46.4593769, 30.6951263 46.4539998)",street
Николая Михновского,"POLYGON((30.6676517 46.4978504, 30.6590874 46.4976584, 30.6588125 46.4975295, 30.658625 46.4968181, 30.6590393 46.4965114, 30.6590353 46.4956501, 30.6676517 46.4978504))",street
Николая Троицкого,"LINESTRING(30.7199046 46.3684548, 30.7163727 46.3668086, 30.7162422 46.3665208, 30.7162461 46.3650053, 30.716079 46.3648056, 30.7069143 46.3580442, 30.7021306 46.3573931)",street
Нищинского,"POLYGON((30.7107385 46.4832397, 30.7185279 46.485525, 30.7193743 46.4853775, 30.7107385 46.4832397))",street
Новаторов,"LINESTRING(30.7335971 46.4345845, 30.7337651 46.4348301)",street
новая дорога|The most|Земост,"LINESTRING(30.7001600 46.4532840, 30.7002544 46.4541452, 30.7003186 46.4544467, 30.7003727 46.4546306, 30.7004656 46.4548670, 30.7005822 46.4550870, 30.7006663 46.4552571, 30.7007578 46.4554054, 30.7009349 46.4556177, 30.7011682 46.4558817, 30.7021350 46.4568949, 30.7029023 46.4577089, 30.7030131 46.4578135, 30.7030792 46.4578758, 30.7031960 46.4579860, 30.7034379 46.4582190, 30.7037414 46.4584298, 30.7039441 46.4585606)",street
Новгородская,"POLYGON((30.732873 46.4058478, 30.7344548 46.4007839, 30.7356883 46.3984103, 30.732873 46.4058478))",street
Новикова,"POLYGON((30.6801633 46.4622244, 30.681161 46.4634433, 30.6837262 46.4689299, 30.6801633 46.4622244))",street
Новобереговая,"LINESTRING(30.7573733 46.419082, 30.7609407 46.4171116)",street
Новомосковская дорога,"LINESTRING(30.638468 46.4956534, 30.6419761 46.4955781, 30.6460516 46.4948366, 30.646985 46.4948144, 30.6492308 46.4941655)",street
Новосельского,"MULTILINESTRING((30.7198605 46.4890082, 30.7198681 46.488782, 30.7199003 46.488649, 30.7199996 46.4884588, 30.7201532 46.4882079, 30.7202587 46.4880386, 30.7202827 46.4880028, 30.7203562 46.4878869, 30.7204005 46.487815, 30.7204496 46.4877376, 30.7209939 46.4868415, 30.7214757 46.4860497, 30.7216927 46.4857122, 30.7218245 46.4855071, 30.7218953 46.485397), (30.7198673 46.4895336, 30.7198629 46.489194, 30.7198605 46.4890082), (30.7213327 46.494375, 30.7211937 46.4940926, 30.7211507 46.4940045, 30.7206937 46.4931376, 30.7205692 46.4928684, 30.7205135 46.4927571, 30.7204233 46.4925704, 30.7203406 46.4923911, 30.7202779 46.4922596, 30.7201614 46.4919965, 30.7201386 46.4919387), (30.7201386 46.4919387, 30.7200274 46.4914677, 30.7199684 46.4912323, 30.7199652 46.4912166, 30.719881 46.4905301, 30.7198673 46.4895336), (30.7294531 46.4791767, 30.7295732 46.4790842, 30.7297139 46.4789759, 30.7297346 46.4789604, 30.7297537 46.4789448, 30.7298897 46.4788388, 30.7300207 46.4787367, 30.7301306 46.478648, 30.7302323 46.4785658, 30.7303239 46.4784929, 30.7303868 46.4784415, 30.7304211 46.4784135, 30.7306449 46.4782303, 30.7310914 46.477871, 30.7311526 46.4778218, 30.7311633 46.4778123, 30.7312238 46.477764), (30.726496 46.4815812, 30.7267156 46.4814089, 30.7267683 46.4813675, 30.7270698 46.4811206, 30.7272044 46.4810104, 30.7273209 46.480915, 30.727556 46.4807226, 30.7276021 46.4806848, 30.7278676 46.480467, 30.7281217 46.4802592, 30.7284194 46.4800194, 30.7286133 46.4798645, 30.7292679 46.4793277, 30.7294531 46.4791767), (30.7263669 46.4816826, 30.726496 46.4815812), (30.722006 46.485215, 30.7229958 46.4844026, 30.7231465 46.4842789, 30.7231994 46.4842357, 30.7233277 46.4841307, 30.7240101 46.4835752, 30.7244452 46.4832242, 30.7245205 46.4831634, 30.7247144 46.4830009, 30.7247563 46.4829663, 30.7249984 46.4827649, 30.7263669 46.4816826), (30.7218953 46.485397, 30.722006 46.485215), (30.7312238 46.477764, 30.7313239 46.477684, 30.7316462 46.4774247, 30.7316695 46.4774059))",street
Новощепной,"LINESTRING(30.7377191 46.4678032, 30.734143 46.4680822, 30.7331798 46.4685275, 30.7303785 46.46872)",street
нудистский пляж,"POLYGON((30.7717583 46.4449487, 30.7719022 46.4440379, 30.7720597 46.4440357, 30.7721709 46.4449628, 30.7717583 46.4449487))",street
Обильная,"LINESTRING(30.7268635 46.4162563, 30.7388151 46.4168788, 30.744687 46.417352)",street
Областная,"POLYGON((30.7889011 46.5829693, 30.7890352 46.5828855, 30.7898066 46.5834689, 30.7896805 46.5835477, 30.7889011 46.5829693))",street
областная администрация,"POLYGON((30.7465547 46.4661418, 30.7464464 46.465498, 30.7466368 46.4654836, 30.7467439 46.4661266, 30.7465547 46.4661418))",street
Облгаи|обл гаи,POINT(30.720118 46.412365),street
Овидиопольская,"POLYGON((30.6697997 46.4512759, 30.6696378 46.4532459, 30.6745194 46.4572249, 30.6697997 46.4512759))",street
Овидиопольская дорога,"POLYGON((30.6522555 46.4505818, 30.6565818 46.4509252, 30.6606336 46.450512, 30.662819 46.4506586, 30.6606455 46.450615, 30.6568331 46.4510399, 30.6541814 46.4508721, 30.6522555 46.4505818))",street
Одария,"LINESTRING(30.7264845 46.4983315, 30.7215982 46.4977794, 30.7184584 46.4978284, 30.7142369 46.4984763)",street
Одесса-Товарная,"POLYGON((30.7139124 46.4583288, 30.7117697 46.4583441, 30.7116829 46.4578588, 30.7089267 46.456577, 30.7085509 46.4567903, 30.7085866 46.4580914, 30.707753 46.4580883, 30.7075765 46.4582494, 30.7065996 46.4575907, 30.7065866 46.4552301, 30.7062787 46.4549196, 30.7067703 46.454414, 30.7108486 46.4551427, 30.7174145 46.4555793, 30.7175015 46.4569478, 30.7155933 46.4569189, 30.7155414 46.4574949, 30.7159242 46.4579819, 30.7147841 46.4579538, 30.7147778 46.4577468, 30.7144219 46.457714, 30.713954 46.4578735, 30.7139124 46.4583288))",street
Озёрная,"LINESTRING(30.6884851 46.5039031, 30.6856325 46.5040525)",street
Олейника|Оленка,"LINESTRING(30.7103564 46.481099, 30.7082882 46.4838531)",street
Ольгиевская,"LINESTRING(30.7173319 46.4888726, 30.7202002 46.4891188, 30.7274766 46.4935751)",street
Ольгиевский спуск,"LINESTRING(30.7187428 46.4905334, 30.7172263 46.490607, 30.7151446 46.4915485, 30.7139329 46.4924172)",street
Омская,"LINESTRING(30.7209528 46.3779795, 30.7203703 46.3811218)",street
